action: u,states: t,states: v,states: x
-0.0230089,0.0,-0.59616,53.9058
-0.245345,1.0,-0.487408,53.6077
-0.00264955,2.0,-0.45546,53.364
-0.126176,3.0,-0.630614,53.1363
-0.0578535,4.0,-1.04463,52.821
-0.12698,5.0,-1.24919,52.2987
-0.199586,6.0,-1.2844,51.6741
-0.177635,7.0,-1.28873,51.0319
-0.0600886,8.0,-1.29676,50.3875
-0.154372,9.0,-1.44894,49.7392
-0.217706,10.0,-1.62344,49.0147
-0.230224,11.0,-1.66826,48.203
-0.00949311,12.0,-1.78586,47.3688
-0.154227,13.0,-1.76687,46.4759
-0.201285,14.0,-1.72758,45.5925
-0.200876,15.0,-1.67629,44.7287
-0.25067,16.0,-2.03599,43.8905
-0.165918,17.0,-1.90027,42.8725
-0.0565954,18.0,-1.84924,41.9224
-0.235986,19.0,-1.35144,40.9978
-0.100403,20.0,-1.54291,40.3221
-0.222533,21.0,-1.63256,39.5506
-0.221585,22.0,-1.59943,38.7343
-0.136425,23.0,-1.99753,37.9346
-0.139068,24.0,-1.73911,36.9359
-0.113036,25.0,-1.96977,36.0663
-0.154264,26.0,-1.96666,35.0814
-0.110469,27.0,-2.32188,34.0981
-0.204829,28.0,-2.20528,32.9371
-0.135836,29.0,-1.91435,31.8345
0.00797296,30.0,-2.3209,30.8773
-0.0932389,31.0,-2.09676,29.7169
-0.179399,32.0,-2.08122,28.6685
-0.129046,33.0,-2.20747,27.6279
-0.0389045,34.0,-2.36863,26.5241
-0.144927,35.0,-2.41967,25.3398
0.066016,36.0,-2.70598,24.13
-0.0330654,37.0,-2.71944,22.777
-0.107552,38.0,-2.96759,21.4173
-0.0334354,39.0,-2.96619,19.9335
0.0276035,40.0,-3.13522,18.4504
0.0211918,41.0,-2.82947,16.8828
-0.0078429,42.0,-2.74014,15.4681
-0.0475351,43.0,-2.69173,14.098
-0.0487348,44.0,-3.06911,12.7521
0.0788491,45.0,-3.24384,11.2176
-0.0163099,46.0,-3.1517,9.59564
0.0975899,47.0,-2.89221,8.0198
0.0196329,48.0,-2.47601,6.57369
0.0592512,49.0,-2.33707,5.33569
-0.0705328,50.0,-2.38771,4.16715
0.0113875,51.0,-2.86717,2.9733
0.185663,52.0,-3.04336,1.53971
0.196301,53.0,-2.92987,0.0180314
0.161116,54.0,-2.68631,-1.4469
0.0209042,55.0,-2.45805,-2.79006
0.0800569,56.0,-2.43599,-4.01908
0.0474787,57.0,-2.21756,-5.23708
0.121663,58.0,-2.06372,-6.34586
0.106205,59.0,-2.59314,-7.37772
0.048409,60.0,-2.28281,-8.67428
0.0442039,61.0,-1.8119,-9.81569
-0.0429298,62.0,-1.83918,-10.7216
0.189928,63.0,-2.15075,-11.6412
0.102815,64.0,-2.36742,-12.7166
0.13098,65.0,-2.19721,-13.9003
0.0549531,66.0,-2.07155,-14.9989
0.0582844,67.0,-1.86797,-16.0347
0.156457,68.0,-1.7519,-16.9687
0.0698653,69.0,-1.72022,-17.8446
0.153202,70.0,-1.75247,-18.7047
0.141509,71.0,-1.29122,-19.581
0.00482666,72.0,-1.01205,-20.2266
