states: t,states: v,states: x
1.0,-0.487408,53.6077
2.0,-0.45546,53.364
3.0,-0.630614,53.1363
4.0,-1.04463,52.821
5.0,-1.24919,52.2987
6.0,-1.2844,51.6741
7.0,-1.28873,51.0319
8.0,-1.29676,50.3875
9.0,-1.44894,49.7392
10.0,-1.62344,49.0147
11.0,-1.66826,48.203
12.0,-1.78586,47.3688
13.0,-1.76687,46.4759
14.0,-1.72758,45.5925
15.0,-1.67629,44.7287
16.0,-2.03599,43.8905
17.0,-1.90027,42.8725
18.0,-1.84924,41.9224
19.0,-1.35144,40.9978
20.0,-1.54291,40.3221
21.0,-1.63256,39.5506
22.0,-1.59943,38.7343
23.0,-1.99753,37.9346
24.0,-1.73911,36.9359
25.0,-1.96977,36.0663
26.0,-1.96666,35.0814
27.0,-2.32188,34.0981
28.0,-2.20528,32.9371
29.0,-1.91435,31.8345
30.0,-2.3209,30.8773
31.0,-2.09676,29.7169
32.0,-2.08122,28.6685
33.0,-2.20747,27.6279
34.0,-2.36863,26.5241
35.0,-2.41967,25.3398
36.0,-2.70598,24.13
37.0,-2.71944,22.777
38.0,-2.96759,21.4173
39.0,-2.96619,19.9335
40.0,-3.13522,18.4504
41.0,-2.82947,16.8828
42.0,-2.74014,15.4681
43.0,-2.69173,14.098
44.0,-3.06911,12.7521
45.0,-3.24384,11.2176
46.0,-3.1517,9.59564
47.0,-2.89221,8.0198
48.0,-2.47601,6.57369
49.0,-2.33707,5.33569
50.0,-2.38771,4.16715
51.0,-2.86717,2.9733
52.0,-3.04336,1.53971
53.0,-2.92987,0.0180314
54.0,-2.68631,-1.4469
55.0,-2.45805,-2.79006
56.0,-2.43599,-4.01908
57.0,-2.21756,-5.23708
58.0,-2.06372,-6.34586
59.0,-2.59314,-7.37772
60.0,-2.28281,-8.67428
61.0,-1.8119,-9.81569
62.0,-1.83918,-10.7216
63.0,-2.15075,-11.6412
64.0,-2.36742,-12.7166
65.0,-2.19721,-13.9003
66.0,-2.07155,-14.9989
67.0,-1.86797,-16.0347
68.0,-1.7519,-16.9687
69.0,-1.72022,-17.8446
70.0,-1.75247,-18.7047
71.0,-1.29122,-19.581
72.0,-1.01205,-20.2266
73.0,-0.754438,-20.7326
74.0,-0.879661,-21.1098
75.0,-1.11094,-21.5497
76.0,-1.06132,-22.1051
77.0,-1.14207,-22.6358
78.0,-1.12403,-23.2068
79.0,-1.11786,-23.7688
80.0,-0.701557,-24.3278
81.0,-0.48232,-24.6786
82.0,-0.79551,-24.9197
83.0,-0.590691,-25.3175
84.0,-0.634482,-25.6128
85.0,-0.763539,-25.9301
86.0,-0.921553,-26.3118
87.0,-0.62092,-26.7726
88.0,-0.467687,-27.0831
89.0,-0.609773,-27.3169
90.0,-0.649323,-27.6218
91.0,-0.566553,-27.9465
92.0,-0.553969,-28.2297
93.0,-0.13849,-28.5067
94.0,-0.192665,-28.576
95.0,-0.389112,-28.6723
96.0,0.131276,-28.8668
97.0,-0.142628,-28.8012
98.0,-0.102213,-28.8725
99.0,0.0875477,-28.9236
100.0,0.22009,-28.8799
1.0,1.22479,-1.32555
2.0,1.05817,-0.713154
