states: t,states: v,states: x
1.0,-0.860922,49.7636
2.0,-1.01907,49.3332
3.0,-1.05384,48.8236
4.0,-0.774674,48.2967
5.0,-1.00438,47.9094
6.0,-1.01418,47.4072
7.0,-0.568968,46.9001
8.0,-0.215104,46.6156
9.0,-0.0363474,46.508
10.0,-0.0294769,46.4899
11.0,0.0928171,46.4751
12.0,0.152021,46.5215
13.0,0.172686,46.5976
14.0,-0.0650205,46.6839
15.0,0.107174,46.6514
16.0,-0.217798,46.705
17.0,-0.591937,46.5961
18.0,-0.240421,46.3001
19.0,-0.519568,46.1799
20.0,-0.587474,45.9201
21.0,-0.726592,45.6264
22.0,-0.940115,45.2631
23.0,-0.713686,44.793
24.0,-0.63592,44.4362
25.0,-0.251515,44.1182
26.0,-0.596045,43.9925
27.0,-0.488991,43.6944
28.0,-0.270356,43.4499
29.0,-0.106811,43.3148
30.0,-0.137496,43.2614
31.0,-0.46761,43.1926
32.0,-0.198831,42.9588
33.0,-0.225879,42.8594
34.0,0.32764,42.7465
35.0,0.451015,42.9103
36.0,0.274377,43.1358
37.0,0.365631,43.273
38.0,-0.0561947,43.4558
39.0,0.00209542,43.4277
40.0,0.114752,43.4287
41.0,-0.248277,43.4861
42.0,-0.637928,43.362
43.0,-1.03863,43.043
44.0,-1.01803,42.5237
45.0,-0.815884,42.0147
46.0,-0.781055,41.6067
47.0,-0.217511,41.2162
48.0,-0.573567,41.1074
49.0,-0.766665,40.8207
50.0,-1.04313,40.4373
51.0,-0.888236,39.9158
52.0,-0.853511,39.4716
53.0,-0.941699,39.0449
54.0,-0.749856,38.574
55.0,-0.840689,38.1991
56.0,-0.672474,37.7788
57.0,-0.837019,37.4425
58.0,-1.33281,37.024
59.0,-1.43227,36.3576
60.0,-1.23811,35.6415
61.0,-0.844122,35.0224
62.0,-0.90644,34.6004
63.0,-0.969319,34.1471
64.0,-1.12137,33.6625
65.0,-0.552299,33.1018
66.0,-0.589829,32.8256
67.0,-0.30196,32.5307
68.0,0.0187684,32.3798
69.0,0.182775,32.3891
70.0,0.000240281,32.4805
71.0,-0.109805,32.4806
72.0,-0.381088,32.4257
73.0,-0.193334,32.2352
74.0,-0.203477,32.1385
75.0,-0.393483,32.0368
76.0,-1.09881,31.8401
77.0,-1.23889,31.2907
78.0,-1.14947,30.6712
79.0,-1.18397,30.0965
80.0,-1.23675,29.5045
81.0,-1.26818,28.8861
82.0,-1.21912,28.252
83.0,-0.981092,27.6425
84.0,-1.52493,27.1519
85.0,-1.49051,26.3894
86.0,-1.71872,25.6442
87.0,-1.24161,24.7848
88.0,-1.67098,24.164
89.0,-1.41781,23.3285
90.0,-1.99789,22.6196
91.0,-1.54027,21.6207
92.0,-1.2754,20.8505
93.0,-1.21376,20.2129
94.0,-1.074,19.606
95.0,-0.778408,19.069
96.0,-0.452532,18.6798
97.0,-0.288319,18.4535
98.0,-0.024515,18.3093
99.0,-0.212095,18.2971
100.0,-0.20224,18.191
1.0,0.342681,-60.8027
2.0,0.261553,-60.6313
3.0,0.275655,-60.5005
4.0,0.572509,-60.3627
5.0,0.927317,-60.0765
6.0,0.937003,-59.6128
7.0,0.820521,-59.1443
8.0,1.19507,-58.734
9.0,1.36651,-58.1365
10.0,1.46704,-57.4533
11.0,1.78767,-56.7197
12.0,1.75982,-55.8259
13.0,1.81244,-54.946
14.0,1.89348,-54.0398
15.0,1.88585,-53.093
16.0,1.83146,-52.1501
17.0,1.67918,-51.2344
18.0,1.88148,-50.3948
19.0,1.50919,-49.454
20.0,1.43592,-48.6994
21.0,1.53112,-47.9815
22.0,1.86538,-47.2159
23.0,1.90675,-46.2832
24.0,1.92033,-45.3299
25.0,2.02958,-44.3697
26.0,1.89922,-43.3549
27.0,1.80806,-42.4053
28.0,1.98403,-41.5013
29.0,2.58825,-40.5093
30.0,2.47892,-39.2151
31.0,2.47927,-37.9757
32.0,2.50124,-36.736
33.0,2.9269,-35.4854
