action: u,states: t,states: v,states: x
0.44583,0.0,-0.056266826,-41.675785
0.43080008,1.0,0.48484975,-41.70392
0.37684166,2.0,0.3577975,-41.461494
0.33712745,3.0,0.22387445,-41.282597
0.32028687,4.0,0.24598421,-41.17066
0.38782585,5.0,0.45082998,-41.047665
0.3598975,6.0,0.72378254,-40.82225
0.3434584,7.0,0.5375037,-40.460358
0.31625545,8.0,0.84019405,-40.191605
0.31882644,9.0,1.0108758,-39.771507
0.31809056,10.0,1.3222802,-39.266068
0.19988048,11.0,1.2422197,-38.604927
0.24066246,12.0,1.4472102,-37.983818
0.22899413,13.0,1.6013174,-37.260212
0.22084749,14.0,1.5127115,-36.459553
0.21450365,15.0,1.8011402,-35.703197
0.09451747,16.0,1.7937943,-34.802628
0.1049093,17.0,1.7567365,-33.90573
0.12130964,18.0,1.6564006,-33.027363
0.14782107,19.0,1.8800522,-32.19916
0.04216075,20.0,2.1121812,-31.259136
0.044140458,21.0,2.120675,-30.203045
0.080929875,22.0,2.1785588,-29.142708
0.04696095,23.0,1.9361058,-28.053429
0.015552044,24.0,1.6184714,-27.085375
-0.027136624,25.0,1.6772871,-26.276138
0.08442187,26.0,1.4594119,-25.437494
-0.029690921,27.0,1.2145572,-24.707788
-0.07244265,28.0,1.238709,-24.10051
0.023905516,29.0,0.8762826,-23.481155
-0.028015196,30.0,1.197621,-23.043015
-0.037210703,31.0,0.9169008,-22.444204
0.024493337,32.0,0.75410503,-21.985754
0.018244982,33.0,0.7253482,-21.608702
-0.08498186,34.0,0.8710815,-21.246027
-0.1265406,35.0,1.1269999,-20.810486
-0.16252422,36.0,1.1978405,-20.246986
-0.13994038,37.0,1.1625702,-19.648066
-0.0444299,38.0,0.98435533,-19.06678
-0.18566304,39.0,1.170927,-18.574602
-0.1339643,40.0,1.1917144,-17.98914
-0.13890648,41.0,1.2507616,-17.393282
-0.13532495,42.0,1.0920124,-16.7679
-0.18040884,43.0,0.8107515,-16.221893
-0.21234673,44.0,0.56474215,-15.816518
-0.11097944,45.0,0.46919608,-15.534146
-0.11350894,46.0,0.42828128,-15.299548
-0.16427416,47.0,0.44245422,-15.085407
-0.12340456,48.0,0.39024207,-14.864181
-0.09101266,49.0,0.4337582,-14.66906
-0.19237512,50.0,0.51331204,-14.452181
-0.1745367,51.0,0.33174372,-14.195525
-0.2118932,52.0,0.3907996,-14.029654
-0.18499684,53.0,0.08057684,-13.834253
-0.1300801,54.0,-0.17623124,-13.793965
-0.14159471,55.0,-0.197386,-13.882081
-0.2419802,56.0,-0.15652359,-13.980774
-0.22609091,57.0,-0.07076053,-14.059035
-0.20959109,58.0,-0.36937758,-14.094416
-0.16026199,59.0,-0.28411648,-14.279104
-0.20636123,60.0,0.009646118,-14.421163
-0.23073536,61.0,-0.37019926,-14.41634
-0.26384777,62.0,-0.28590503,-14.601439
-0.25801396,63.0,-0.2832498,-14.744392
-0.16188627,64.0,-0.31280145,-14.886017
-0.26170272,65.0,-0.56861097,-15.042418
-0.22825706,66.0,-0.71708614,-15.326723
-0.19771051,67.0,-0.8207716,-15.6852665
-0.30126798,68.0,-0.5662754,-16.095652
-0.23889685,69.0,-0.78577626,-16.37879
-0.16481835,70.0,-0.7751024,-16.771679
-0.2063641,71.0,-0.76798916,-17.15923
-0.21236122,72.0,-1.138717,-17.543224
-0.30032462,73.0,-1.4885472,-18.112583
-0.26656634,74.0,-1.6763706,-18.856857
-0.20388699,75.0,-2.0213594,-19.695042
-0.27267718,76.0,-2.1342165,-20.70572
-0.18451518,77.0,-2.317499,-21.77283
-0.2641102,78.0,-2.7019458,-22.931578
-0.27166075,79.0,-2.7788622,-24.28255
-0.19627178,80.0,-3.0432076,-25.671982
-0.15890533,81.0,-3.1098146,-27.193586
-0.2060017,82.0,-3.5220528,-28.748493
-0.15892076,83.0,-3.620078,-30.50952
-0.19289786,84.0,-3.618217,-32.319557
-0.20514154,85.0,-3.7296693,-34.128666
-0.11787206,86.0,-3.6549175,-35.9935
-0.20387173,87.0,-3.4760242,-37.820957
-0.23331058,88.0,-3.6762552,-39.558968
-0.25355226,89.0,-3.721991,-41.397095
-0.16678178,90.0,-4.129917,-43.25809
-0.23086447,91.0,-4.4416466,-45.32305
-0.2307738,92.0,-4.413214,-47.543877
-0.11398858,93.0,-4.4251957,-49.750484
-0.14019662,94.0,-4.6424203,-51.96308
-0.11810833,95.0,-4.6273575,-54.28429
-0.1654442,96.0,-4.8330145,-56.59797
-0.08372438,97.0,-4.961005,-59.014477
0.0,98.0,-4.9053965,-61.49498
0.0,99.0,-4.907023,-63.947678
0.9619247,0.0,1.6402708,-213.61961
0.95113313,1.0,2.0720484,-212.79948
0.95288074,2.0,2.5765638,-211.76346
0.9460052,3.0,3.0906854,-210.47517
0.93203235,4.0,3.3556478,-208.92982
0.9219574,5.0,3.895302,-207.252
0.9238858,6.0,3.889812,-205.30435
0.8992084,7.0,4.665638,-203.35945
0.8916223,8.0,5.3169,-201.02663
0.8739506,9.0,5.7367253,-198.36818
0.848729,10.0,6.3632865,-195.49982
0.8407967,11.0,6.803868,-192.31818
0.81567264,12.0,7.2422075,-188.91624
0.76287866,13.0,7.8359075,-185.29514
0.73800516,14.0,8.313018,-181.37718
0.73373544,15.0,8.481983,-177.22067
0.67295754,16.0,9.199655,-172.97968
0.6572404,17.0,9.615494,-168.37985
0.53507197,18.0,9.897229,-163.57211
0.4815054,19.0,10.062527,-158.6235
0.4705118,20.0,10.424199,-153.59224
0.4052105,21.0,10.316443,-148.38014
0.4258356,22.0,10.490733,-143.22192
0.36894488,23.0,10.711857,-137.97656
0.25597632,24.0,10.685058,-132.62064
0.16261256,25.0,10.596297,-127.27811
0.21393931,26.0,10.673322,-121.97996
0.0038152933,27.0,10.977152,-116.643295
0.08699322,28.0,11.003237,-111.15472
-0.020466864,29.0,11.174947,-105.6531
-0.09396112,30.0,11.151873,-100.06563
-0.17869169,31.0,10.829311,-94.48969
-0.23163396,32.0,10.788412,-89.075035
-0.24425888,33.0,10.786349,-83.68083
-0.29223448,34.0,10.139412,-78.28766
-0.35872418,35.0,9.887613,-73.21796
-0.30404556,36.0,9.60044,-68.27415
-0.34437788,37.0,9.375231,-63.473927
-0.41526496,38.0,9.273292,-58.786312
-0.4692952,39.0,8.764154,-54.149666
-0.4948274,40.0,8.325579,-49.76759
-0.52417254,41.0,8.105219,-45.6048
-0.5317718,42.0,7.6090546,-41.552193
-0.5602479,43.0,7.259373,-37.747665
-0.5446373,44.0,6.597365,-34.117977
-0.60181546,45.0,6.482354,-30.819294
-0.600258,46.0,6.0388727,-27.578117
-0.5705336,47.0,6.091701,-24.558681
-0.573923,48.0,5.795634,-21.51283
-0.6283879,49.0,4.8033752,-18.615013
-0.64211595,50.0,4.6265345,-16.213326
-0.6342807,51.0,4.4825697,-13.900059
-0.5998008,52.0,3.918266,-11.658773
-0.64828616,53.0,3.8699877,-9.69964
-0.6368215,54.0,3.6372273,-7.7646465
-0.65238357,55.0,3.506382,-5.946033
-0.6469641,56.0,3.6023872,-4.192842
-0.6475355,57.0,2.9938014,-2.3916483
-0.62704515,58.0,2.628881,-0.8947476
-0.67826414,59.0,2.1923873,0.41969287
-0.6549135,60.0,1.921875,1.5158865
-0.66401696,61.0,1.448139,2.476824
-0.6678282,62.0,1.1023958,3.2008934
-0.6101799,63.0,1.0911349,3.7520914
-0.6319357,64.0,0.4075817,4.297659
-0.6578201,65.0,-0.07696025,4.5014496
-0.6268289,66.0,-0.86756253,4.4629693
-0.6424103,67.0,-1.2695875,4.029188
-0.60548794,68.0,-1.6015326,3.3943944
-0.59272766,69.0,-2.0899098,2.5936282
-0.6267078,70.0,-2.0869737,1.5486733
-0.6412617,71.0,-2.175994,0.50518644
-0.5646199,72.0,-2.6435435,-0.5828105
-0.5597594,73.0,-2.9689221,-1.9045823
-0.58797455,74.0,-3.0245218,-3.3890433
-0.5167971,75.0,-3.5209832,-4.9013042
-0.51871955,76.0,-3.6276312,-6.6617956
-0.56402105,77.0,-3.987811,-8.475611
-0.49169916,78.0,-4.505527,-10.469517
-0.55009806,79.0,-4.789092,-12.7222805
-0.5364076,80.0,-5.056758,-15.116827
-0.49985194,81.0,-5.008653,-17.645206
-0.40843153,82.0,-5.203073,-20.149532
-0.4091068,83.0,-5.44461,-22.751068
-0.36720222,84.0,-5.7800407,-25.473373
-0.36449844,85.0,-6.0799713,-28.363394
-0.3152948,86.0,-6.3580513,-31.40338
-0.39842087,87.0,-6.239892,-34.582405
-0.27194577,88.0,-6.6953735,-37.70235
-0.28622347,89.0,-6.378694,-41.050037
-0.23279649,90.0,-6.385654,-44.239384
-0.17063099,91.0,-6.563198,-47.43221
-0.25304466,92.0,-6.3899183,-50.713806
-0.1380443,93.0,-6.583095,-53.908764
-0.09505385,94.0,-6.4587026,-57.20031
-0.031029642,95.0,-6.7072434,-60.42966
-0.13580674,96.0,-6.8637156,-63.783283
-0.071914315,97.0,-6.709194,-67.21514
0.0,98.0,-6.9192657,-70.56974
0.0,99.0,-6.892373,-74.02937
0.9839258,0.0,-0.84174734,-179.34355
0.9824693,1.0,-0.2422213,-179.76442
0.98113286,2.0,0.112442344,-179.88553
0.9789561,3.0,1.0546939,-179.8293
0.96907985,4.0,1.6205901,-179.30196
0.9674593,5.0,2.0341156,-178.49167
0.96297944,6.0,2.7260597,-177.47461
0.9517157,7.0,3.461727,-176.11157
0.94537663,8.0,3.88203,-174.3807
0.942719,9.0,4.5257273,-172.4397
0.9320359,10.0,5.396732,-170.17683
0.92756414,11.0,5.704789,-167.47847
0.91216683,12.0,5.787487,-164.62607
0.90191114,13.0,6.5132217,-161.73233
0.8754504,14.0,6.9243298,-158.47572
0.8394878,15.0,6.9160666,-155.01357
0.82576823,16.0,7.208906,-151.55553
0.8194151,17.0,7.570562,-147.95108
0.7871984,18.0,8.135745,-144.1658
0.7594197,19.0,8.77602,-140.09793
0.71459925,20.0,9.479259,-135.70992
0.67641497,21.0,9.612819,-130.97029
0.6226914,22.0,9.920956,-126.16388
0.5932698,23.0,10.797481,-121.2034
0.52996457,24.0,11.090216,-115.80466
0.48950422,25.0,11.116716,-110.25955
0.38729024,26.0,11.290123,-104.701195
0.2514367,27.0,11.347289,-99.05614
0.21984124,28.0,11.283981,-93.38249
0.15451169,29.0,11.732381,-87.7405
0.12674189,30.0,11.781818,-81.87431
0.11871374,31.0,12.046129,-75.983406
0.041472435,32.0,12.375824,-69.96034
0.024558663,33.0,12.605966,-63.77243
-0.06206107,34.0,12.234246,-57.469448
-0.11388236,35.0,11.9593115,-51.352325
-0.17236996,36.0,11.776484,-45.37267
-0.2875849,37.0,11.825998,-39.48443
-0.23492461,38.0,11.355877,-33.57143
-0.34972644,39.0,11.353382,-27.893492
-0.43374616,40.0,10.892389,-22.2168
-0.4432503,41.0,11.171819,-16.770607
-0.45291823,42.0,10.879092,-11.184698
-0.4224084,43.0,10.358245,-5.745152
-0.5376204,44.0,9.766146,-0.56602955
-0.539815,45.0,9.314761,4.3170433
-0.5803027,46.0,8.995557,8.974424
-0.536531,47.0,8.281458,13.472202
-0.57280046,48.0,7.963218,17.61293
-0.6000784,49.0,7.5507493,21.59454
-0.5609133,50.0,7.153706,25.369915
-0.6279932,51.0,6.615545,28.946768
-0.57142353,52.0,6.2165666,32.25454
-0.59928656,53.0,5.5959105,35.362823
-0.622264,54.0,5.2722797,38.160778
-0.64044154,55.0,4.9784284,40.796917
-0.6470094,56.0,4.971365,43.286133
-0.68858325,57.0,4.397187,45.771816
-0.69360757,58.0,3.963416,47.97041
