states: t,states: v,states: x
1.0,0.48484975,-41.70392
2.0,0.3577975,-41.461494
3.0,0.22387445,-41.282597
4.0,0.24598421,-41.17066
5.0,0.45082998,-41.047665
6.0,0.72378254,-40.82225
7.0,0.5375037,-40.460358
8.0,0.84019405,-40.191605
9.0,1.0108758,-39.771507
10.0,1.3222802,-39.266068
11.0,1.2422197,-38.604927
12.0,1.4472102,-37.983818
13.0,1.6013174,-37.260212
14.0,1.5127115,-36.459553
15.0,1.8011402,-35.703197
16.0,1.7937943,-34.802628
17.0,1.7567365,-33.90573
18.0,1.6564006,-33.027363
19.0,1.8800522,-32.19916
20.0,2.1121812,-31.259136
21.0,2.120675,-30.203045
22.0,2.1785588,-29.142708
23.0,1.9361058,-28.053429
24.0,1.6184714,-27.085375
25.0,1.6772871,-26.276138
26.0,1.4594119,-25.437494
27.0,1.2145572,-24.707788
28.0,1.238709,-24.10051
29.0,0.8762826,-23.481155
30.0,1.197621,-23.043015
31.0,0.9169008,-22.444204
32.0,0.75410503,-21.985754
33.0,0.7253482,-21.608702
34.0,0.8710815,-21.246027
35.0,1.1269999,-20.810486
36.0,1.1978405,-20.246986
37.0,1.1625702,-19.648066
38.0,0.98435533,-19.06678
39.0,1.170927,-18.574602
40.0,1.1917144,-17.98914
41.0,1.2507616,-17.393282
42.0,1.0920124,-16.7679
43.0,0.8107515,-16.221893
44.0,0.56474215,-15.816518
45.0,0.46919608,-15.534146
46.0,0.42828128,-15.299548
47.0,0.44245422,-15.085407
48.0,0.39024207,-14.864181
49.0,0.4337582,-14.66906
50.0,0.51331204,-14.452181
51.0,0.33174372,-14.195525
52.0,0.3907996,-14.029654
53.0,0.08057684,-13.834253
54.0,-0.17623124,-13.793965
55.0,-0.197386,-13.882081
56.0,-0.15652359,-13.980774
57.0,-0.07076053,-14.059035
58.0,-0.36937758,-14.094416
59.0,-0.28411648,-14.279104
60.0,0.009646118,-14.421163
61.0,-0.37019926,-14.41634
62.0,-0.28590503,-14.601439
63.0,-0.2832498,-14.744392
64.0,-0.31280145,-14.886017
65.0,-0.56861097,-15.042418
66.0,-0.71708614,-15.326723
67.0,-0.8207716,-15.6852665
68.0,-0.5662754,-16.095652
69.0,-0.78577626,-16.37879
70.0,-0.7751024,-16.771679
71.0,-0.76798916,-17.15923
72.0,-1.138717,-17.543224
73.0,-1.4885472,-18.112583
74.0,-1.6763706,-18.856857
75.0,-2.0213594,-19.695042
76.0,-2.1342165,-20.70572
77.0,-2.317499,-21.77283
78.0,-2.7019458,-22.931578
79.0,-2.7788622,-24.28255
80.0,-3.0432076,-25.671982
81.0,-3.1098146,-27.193586
82.0,-3.5220528,-28.748493
83.0,-3.620078,-30.50952
84.0,-3.618217,-32.319557
85.0,-3.7296693,-34.128666
86.0,-3.6549175,-35.9935
87.0,-3.4760242,-37.820957
88.0,-3.6762552,-39.558968
89.0,-3.721991,-41.397095
90.0,-4.129917,-43.25809
91.0,-4.4416466,-45.32305
92.0,-4.413214,-47.543877
93.0,-4.4251957,-49.750484
94.0,-4.6424203,-51.96308
95.0,-4.6273575,-54.28429
96.0,-4.8330145,-56.59797
97.0,-4.961005,-59.014477
98.0,-4.9053965,-61.49498
99.0,-4.907023,-63.947678
100.0,-4.844392,-66.40119
1.0,2.0720484,-212.79948
2.0,2.5765638,-211.76346
3.0,3.0906854,-210.47517
4.0,3.3556478,-208.92982
5.0,3.895302,-207.252
6.0,3.889812,-205.30435
7.0,4.665638,-203.35945
8.0,5.3169,-201.02663
9.0,5.7367253,-198.36818
10.0,6.3632865,-195.49982
11.0,6.803868,-192.31818
12.0,7.2422075,-188.91624
13.0,7.8359075,-185.29514
14.0,8.313018,-181.37718
15.0,8.481983,-177.22067
16.0,9.199655,-172.97968
17.0,9.615494,-168.37985
18.0,9.897229,-163.57211
19.0,10.062527,-158.6235
20.0,10.424199,-153.59224
21.0,10.316443,-148.38014
22.0,10.490733,-143.22192
23.0,10.711857,-137.97656
24.0,10.685058,-132.62064
25.0,10.596297,-127.27811
26.0,10.673322,-121.97996
27.0,10.977152,-116.643295
28.0,11.003237,-111.15472
29.0,11.174947,-105.6531
30.0,11.151873,-100.06563
31.0,10.829311,-94.48969
32.0,10.788412,-89.075035
33.0,10.786349,-83.68083
34.0,10.139412,-78.28766
35.0,9.887613,-73.21796
36.0,9.60044,-68.27415
37.0,9.375231,-63.473927
38.0,9.273292,-58.786312
39.0,8.764154,-54.149666
40.0,8.325579,-49.76759
41.0,8.105219,-45.6048
42.0,7.6090546,-41.552193
43.0,7.259373,-37.747665
44.0,6.597365,-34.117977
45.0,6.482354,-30.819294
