action: u,states: t,states: v,states: x
-0.98334163,0.0,-0.6117564,162.43454
-0.9840156,1.0,-1.1034272,162.12866
-0.98234123,2.0,-1.5954349,161.57695
-0.9826908,3.0,-2.0866055,160.77924
-0.9835563,4.0,-2.577951,159.73593
-0.9839431,5.0,-3.069729,158.44696
-0.9801763,6.0,-3.5617006,156.9121
-0.9830145,7.0,-4.051789,155.13124
-0.98311704,8.0,-4.543296,153.10535
-0.97831404,9.0,-5.0348544,150.8337
-0.9830342,10.0,-5.5240116,148.31627
-0.9795344,11.0,-6.0155287,145.55426
-0.98200184,12.0,-6.5052958,142.5465
-0.9777714,13.0,-6.996297,139.29384
-0.98062074,14.0,-7.485183,135.79568
-0.9787794,15.0,-7.975493,132.0531
-0.9809588,16.0,-8.464883,128.06535
-0.9818822,17.0,-8.955362,123.83291
-0.98060554,18.0,-9.446303,119.355225
-0.9786437,19.0,-9.936606,114.63207
-0.9758427,20.0,-10.425928,109.66377
-0.9678739,21.0,-10.91385,104.450806
-0.9269535,22.0,-11.397787,98.99388
0.3173126,23.0,-11.861264,93.29499
0.7453848,24.0,-11.702608,87.36436
0.8846626,25.0,-11.329916,81.513054
0.9396771,26.0,-10.887585,75.8481
0.950166,27.0,-10.417747,70.404305
0.9432397,28.0,-9.942663,65.195435
0.9521282,29.0,-9.471044,60.224102
0.9560665,30.0,-8.99498,55.48858
0.9595227,31.0,-8.516947,50.99109
0.9581348,32.0,-8.037186,46.732616
0.95781803,33.0,-7.5581183,42.714024
0.9575176,34.0,-7.0792093,38.934963
0.9589386,35.0,-6.6004505,35.39536
0.9647753,36.0,-6.120981,32.095135
0.9599595,37.0,-5.6385937,29.034645
0.96635103,38.0,-5.158614,26.215347
0.9555032,39.0,-4.675439,23.63604
0.96048903,40.0,-4.197687,21.29832
0.9585023,41.0,-3.7174425,19.199478
0.95855486,42.0,-3.2381914,17.340757
0.9547385,43.0,-2.758914,15.721662
0.9540676,44.0,-2.2815447,14.342205
0.946705,45.0,-1.8045108,13.201433
0.94531643,46.0,-1.3311584,12.299178
0.92700076,47.0,-0.8585002,11.633599
0.9066191,48.0,-0.3949998,11.2043495
0.8539883,49.0,0.058309734,11.006849
0.77492225,50.0,0.48530388,11.036004
0.7205913,51.0,0.872765,11.278656
0.61691415,52.0,1.2330606,11.715038
0.48005402,53.0,1.5415177,12.331569
0.31233692,54.0,1.7815447,13.102327
0.22657561,55.0,1.9377131,13.993099
0.14649308,56.0,2.051001,14.961956
-0.07017249,57.0,2.1242476,15.987456
-0.42002863,58.0,2.0891614,17.04958
-0.44919258,59.0,1.879147,18.09416
-0.5392112,60.0,1.6545508,19.033733
-0.5616275,61.0,1.3849452,19.86101
-0.5850538,62.0,1.1041315,20.553482
-0.50740796,63.0,0.81160456,21.105547
-0.4458511,64.0,0.55790055,21.511349
-0.44518143,65.0,0.334975,21.790298
-0.39251,66.0,0.11238429,21.957787
-0.2882625,67.0,-0.08387071,22.013979
-0.30865163,68.0,-0.22800195,21.972044
-0.17368937,69.0,-0.38232777,21.858044
-0.16020083,70.0,-0.46917245,21.66688
-0.10814309,71.0,-0.5492729,21.432293
-0.07789338,72.0,-0.60334444,21.157656
-0.029619694,73.0,-0.6422911,20.855984
0.11077964,74.0,-0.657101,20.534838
0.16997588,75.0,-0.60171115,20.206287
0.21960878,76.0,-0.5167232,19.905432
0.10641086,77.0,-0.40691882,19.64707
0.19556618,78.0,-0.3537134,19.443611
0.16446853,79.0,-0.2559303,19.266754
0.21471536,80.0,-0.17369604,19.138788
0.2585411,81.0,-0.06633836,19.05194
0.18964875,82.0,0.06293219,19.018772
0.18261218,83.0,0.15775657,19.050238
0.12827575,84.0,0.24906266,19.129116
-0.03192991,85.0,0.31320053,19.253647
-0.04865372,86.0,0.29723558,19.410248
-0.06604916,87.0,0.27290872,19.558867
-0.116029084,88.0,0.23988414,19.69532
-0.07880461,89.0,0.1818696,19.815262
-0.09582448,90.0,0.14246729,19.906197
-0.13409668,91.0,0.09455505,19.97743
-0.17604,92.0,0.02750671,20.024708
-0.10174304,93.0,-0.060513288,20.038462
-0.18947494,94.0,-0.11138481,20.008205
-0.13872784,95.0,-0.20612228,19.952513
-0.041089118,96.0,-0.2754862,19.849451
-0.027526736,97.0,-0.29603076,19.711708
0.0,98.0,-0.30979413,19.563692
0.0,99.0,-0.30979413,19.408794
0.98114383,0.0,-1.0729686,-52.817177
0.9815161,1.0,-0.5823967,-53.35366
0.97941446,2.0,-0.091638625,-53.64486
0.97956765,3.0,0.3980686,-53.690678
0.9802941,4.0,0.88785243,-53.491642
0.9745555,5.0,1.3779995,-53.047714
0.9789239,6.0,1.8652773,-52.358715
0.9756032,7.0,2.3547392,-51.426075
0.97472477,8.0,2.8425407,-50.248707
0.9709108,9.0,3.3299031,-48.82744
0.96873236,10.0,3.8153586,-47.162487
0.96003914,11.0,4.2997246,-45.254807
0.94812393,12.0,4.779744,-43.104942
0.9057363,13.0,5.253806,-40.71507
0.8655822,14.0,5.706674,-38.088165
0.7733635,15.0,6.1394653,-35.23483
0.5914389,16.0,6.526147,-32.165096
0.29504812,17.0,6.8218665,-28.902023
0.051826715,18.0,6.9693904,-25.49109
-0.11761427,19.0,6.9953036,-22.006395
-0.37655765,20.0,6.9364967,-18.508743
-0.5029484,21.0,6.748218,-15.040495
-0.6493391,22.0,6.4967437,-11.666386
-0.70581794,23.0,6.1720743,-8.418014
-0.78473413,24.0,5.819165,-5.3319764
-0.8313702,25.0,5.4267983,-2.4223938
-0.8269243,26.0,5.011113,0.29100537
-0.84459615,27.0,4.597651,2.796562
-0.84731495,28.0,4.175353,5.0953875
-0.807515,29.0,3.7516956,7.183064
-0.81475204,30.0,3.347938,9.058912
-0.81528825,31.0,2.940562,10.732882
-0.75888383,32.0,2.532918,12.203162
-0.7845644,33.0,2.153476,13.469622
-0.70955217,34.0,1.7611938,14.54636
-0.6783384,35.0,1.4064176,15.426957
-0.6670618,36.0,1.0672483,16.130165
-0.59027267,37.0,0.73371744,16.66379
-0.5717397,38.0,0.4385811,17.03065
-0.5510737,39.0,0.15271127,17.249939
-0.45400667,40.0,-0.12282556,17.326294
-0.4020375,41.0,-0.3498289,17.264881
-0.36481285,42.0,-0.55084765,17.089966
-0.24543655,43.0,-0.7332541,16.814543
-0.19479561,44.0,-0.85597235,16.447916
-0.040579498,45.0,-0.95337015,16.01993
-0.11308116,46.0,-0.9736599,15.543244
0.0037882328,47.0,-1.0302005,15.056415
0.0049648285,48.0,-1.0283064,14.541314
9.679794e-05,49.0,-1.025824,14.027161
0.03605044,50.0,-1.0257756,13.514249
0.11940491,51.0,-1.0077503,13.001361
0.10747123,52.0,-0.9480478,12.497486
0.15472603,53.0,-0.8943122,12.023462
0.20123923,54.0,-0.8169492,11.576306
0.24604273,55.0,-0.7163296,11.167831
0.2182411,56.0,-0.5933082,10.809667
0.22338057,57.0,-0.48418766,10.513013
0.2879231,58.0,-0.37249738,10.270919
0.29892814,59.0,-0.22853583,10.08467
0.28348875,60.0,-0.07907176,9.970402
0.21519351,61.0,0.062672615,9.930866
0.17769301,62.0,0.17026937,9.962202
0.12118602,63.0,0.25911587,10.047337
0.09323025,64.0,0.31970888,10.176894
0.033101916,65.0,0.366324,10.336749
-0.0070910454,66.0,0.38287497,10.519911
0.050524473,67.0,0.37932944,10.711349
-0.020119965,68.0,0.40459168,10.901013
0.0139017105,69.0,0.3945317,11.10331
-0.023979545,70.0,0.40148255,11.300575
-0.08565509,71.0,0.38949278,11.501316
-0.11730993,72.0,0.34666523,11.696062
-0.0039523244,73.0,0.28801027,11.869394
-0.11159271,74.0,0.2860341,12.013399
-0.17449391,75.0,0.23023775,12.156416
-0.12903887,76.0,0.1429908,12.271535
-0.03818834,77.0,0.07847136,12.34303
-0.15841413,78.0,0.059377193,12.382266
-0.15564853,79.0,-0.01982987,12.411955
-0.14921081,80.0,-0.097654134,12.40204
-0.09442377,81.0,-0.17225954,12.353212
0.010570765,82.0,-0.21947142,12.267082
-0.09679431,83.0,-0.21418604,12.157347
-0.008165598,84.0,-0.2625832,12.050254
-0.024722874,85.0,-0.266666,11.9189625
0.05831909,86.0,-0.27902743,11.785629
0.051803708,87.0,-0.24986789,11.646115
0.024104476,88.0,-0.22396603,11.521181
0.07364905,89.0,-0.2119138,11.409198
0.07817161,90.0,-0.17508927,11.303241
0.097435474,91.0,-0.13600346,11.215696
0.06403136,92.0,-0.08728573,11.147695
0.19604254,93.0,-0.055270046,11.104052
0.11664915,94.0,0.042751223,11.076417
0.13545632,95.0,0.1010758,11.097793
0.21730089,96.0,0.16880396,11.148331
0.097877145,97.0,0.2774544,11.232733
0.0,98.0,0.32639298,11.37146
0.0,99.0,0.32639298,11.534657
-0.9761955,0.0,-2.3015387,86.540764
-0.9672202,1.0,-2.7896364,85.38999
-0.9621231,2.0,-3.2732465,83.99517
-0.9606969,3.0,-3.754308,82.35855
-0.9522048,4.0,-4.2346563,80.4814
-0.93263793,5.0,-4.7107587,78.364075
-0.89419985,6.0,-5.177078,76.0087
-0.8432714,7.0,-5.624178,73.42016
-0.7561661,8.0,-6.0458136,70.60807
-0.6127366,9.0,-6.423897,67.58517
-0.41218954,10.0,-6.730265,64.373215
-0.11356038,11.0,-6.93636,61.008083
0.12685668,12.0,-6.99314,57.5399
0.29878283,13.0,-6.929712,54.04333
0.4187379,14.0,-6.78032,50.578476
0.4647274,15.0,-6.5709515,47.188316
0.62240994,16.0,-6.3385878,43.90284
0.6574954,17.0,-6.027383,40.733547
0.7420224,18.0,-5.698635,37.719856
0.7921299,19.0,-5.327624,34.870537
0.7849636,20.0,-4.931559,32.206726
0.79848313,21.0,-4.5390773,29.740946
0.8208028,22.0,-4.139836,27.471407
0.79438865,23.0,-3.7294345,25.40149
0.7882638,24.0,-3.33224,23.536772
0.793368,25.0,-2.9381082,21.870651
0.7758174,26.0,-2.5414243,20.401598
0.7173382,27.0,-2.1535156,19.130886
0.7301098,28.0,-1.7948465,18.054129
0.6706972,29.0,-1.4297917,17.156706
0.6689768,30.0,-1.0944431,16.44181
0.56977415,31.0,-0.7599547,15.894589
0.56527865,32.0,-0.47506762,15.514612
0.46662426,33.0,-0.19242829,15.277079
0.39111793,34.0,0.04088384,15.180864
0.39298618,35.0,0.2364428,15.201306
0.32909346,36.0,0.4329359,15.319528
0.20983493,37.0,0.5974826,15.5359955
0.18787897,38.0,0.7024001,15.834737
0.090097785,39.0,0.7963396,16.185936
0.03784716,40.0,0.84138846,16.584106
0.099401,41.0,0.86031204,17.0048
-0.04455197,42.0,0.91001254,17.434958
-0.08362144,43.0,0.88773656,17.889963
0.0069584846,44.0,0.8459258,18.333832
-0.116248965,45.0,0.84940505,18.756794
-0.120860755,46.0,0.79128057,19.181496
-0.115243316,47.0,0.7308502,19.577135
-0.0568797,48.0,0.67322856,19.94256
-0.16428083,49.0,0.64478874,20.279175
-0.18523508,50.0,0.5626483,20.60157
-0.20385659,51.0,0.47003075,20.882895
-0.17773157,52.0,0.36810246,21.11791
-0.075446784,53.0,0.27923667,21.301962
