states: t,states: v,states: x
1.0,-1.1034272,162.12866
2.0,-1.5954349,161.57695
3.0,-2.0866055,160.77924
4.0,-2.577951,159.73593
5.0,-3.069729,158.44696
6.0,-3.5617006,156.9121
7.0,-4.051789,155.13124
8.0,-4.543296,153.10535
9.0,-5.0348544,150.8337
10.0,-5.5240116,148.31627
11.0,-6.0155287,145.55426
12.0,-6.5052958,142.5465
13.0,-6.996297,139.29384
14.0,-7.485183,135.79568
15.0,-7.975493,132.0531
16.0,-8.464883,128.06535
17.0,-8.955362,123.83291
18.0,-9.446303,119.355225
19.0,-9.936606,114.63207
20.0,-10.425928,109.66377
21.0,-10.91385,104.450806
22.0,-11.397787,98.99388
23.0,-11.861264,93.29499
24.0,-11.702608,87.36436
25.0,-11.329916,81.513054
26.0,-10.887585,75.8481
27.0,-10.417747,70.404305
28.0,-9.942663,65.195435
29.0,-9.471044,60.224102
30.0,-8.99498,55.48858
31.0,-8.516947,50.99109
32.0,-8.037186,46.732616
33.0,-7.5581183,42.714024
34.0,-7.0792093,38.934963
35.0,-6.6004505,35.39536
36.0,-6.120981,32.095135
37.0,-5.6385937,29.034645
38.0,-5.158614,26.215347
39.0,-4.675439,23.63604
40.0,-4.197687,21.29832
41.0,-3.7174425,19.199478
42.0,-3.2381914,17.340757
43.0,-2.758914,15.721662
44.0,-2.2815447,14.342205
45.0,-1.8045108,13.201433
46.0,-1.3311584,12.299178
47.0,-0.8585002,11.633599
48.0,-0.3949998,11.2043495
49.0,0.058309734,11.006849
50.0,0.48530388,11.036004
51.0,0.872765,11.278656
52.0,1.2330606,11.715038
53.0,1.5415177,12.331569
54.0,1.7815447,13.102327
55.0,1.9377131,13.993099
56.0,2.051001,14.961956
57.0,2.1242476,15.987456
58.0,2.0891614,17.04958
59.0,1.879147,18.09416
60.0,1.6545508,19.033733
61.0,1.3849452,19.86101
62.0,1.1041315,20.553482
63.0,0.81160456,21.105547
64.0,0.55790055,21.511349
65.0,0.334975,21.790298
66.0,0.11238429,21.957787
67.0,-0.08387071,22.013979
68.0,-0.22800195,21.972044
69.0,-0.38232777,21.858044
70.0,-0.46917245,21.66688
71.0,-0.5492729,21.432293
72.0,-0.60334444,21.157656
73.0,-0.6422911,20.855984
74.0,-0.657101,20.534838
75.0,-0.60171115,20.206287
76.0,-0.5167232,19.905432
77.0,-0.40691882,19.64707
78.0,-0.3537134,19.443611
79.0,-0.2559303,19.266754
80.0,-0.17369604,19.138788
